architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
tracker,0.05,0.05,central_screening,7.213984506450347e-18,6.332404596672979e-15,5.653932675600874e-18
tracker,0.05,0.05,lower_resistance,1.0289655803012749e-15,9.032215642675667e-13,8.0644782523889885e-16
tracker,0.05,0.05,upper_resistance,3.43452645460913e-20,3.014812561506781e-17,2.6917969299167686e-20
tracker,0.1,0.1,central_screening,1.011476130903924e-11,8.878694007498827e-09,7.927405363838239e-12
tracker,0.1,0.1,lower_resistance,4.4116636636658336e-10,3.8725394042354064e-07,3.4576244680673274e-10
tracker,0.1,0.1,upper_resistance,1.5887874868227966e-13,1.394630827900633e-10,1.2452060963398509e-13
tracker,0.15,0.15,central_screening,7.304255473704193e-09,6.411644063776526e-06,5.7246821998004696e-09
tracker,0.15,0.15,lower_resistance,1.620301559544042e-07,0.00014222937454992868,1.2699051299100775e-07
tracker,0.15,0.15,upper_resistance,2.2743854679487695e-10,1.9964457892815328e-07,1.7825408832870828e-10
tracker,0.2,0.2,central_screening,3.712087766046421e-07,0.0003258454687828581,2.90933454270409e-07
tracker,0.2,0.2,lower_resistance,5.170317141993149e-06,0.004538482167093612,4.052216220619297e-06
tracker,0.2,0.2,upper_resistance,1.8600772002823375e-08,1.6327677724706174e-05,1.457828368277337e-08
tracker,0.25,0.25,central_screening,5.186264712203868e-06,0.004552480875687708,4.064715067578311e-06
tracker,0.25,0.25,lower_resistance,5.117240935208378e-05,0.044918921008802286,4.01061794721449e-05
tracker,0.25,0.25,upper_resistance,3.724181918088603e-07,0.0003269070882514929,2.918813287959758e-07
tracker,0.3,0.3,central_screening,3.4815221421970905e-05,0.030560651741010716,2.7286296197330995e-05
tracker,0.3,0.3,lower_resistance,0.0002640869397885022,0.23181438079645558,0.00020697712571112104
tracker,0.3,0.3,upper_resistance,3.3227670527026635e-06,0.002916710638814663,2.604205927513092e-06
tracker,0.35,0.35,central_screening,0.00014843032626549624,0.13029150249614108,0.00011633169865726882
tracker,0.35,0.35,lower_resistance,0.0009185288502556168,0.806280677250502,0.0007198934618308054
tracker,0.35,0.35,upper_resistance,1.7852737796734973e-05,0.015671056513381503,1.3992014744090628e-05
tracker,0.4,0.4,central_screening,0.00046942630434358695,0.4120603925287899,0.0003679110647578481
tracker,0.4,0.4,lower_resistance,0.002474714848981613,2.172294059009136,0.001939548266972443
tracker,0.4,0.4,upper_resistance,6.842131987864351e-05,0.060059940539454584,5.3624946910227305e-05
tracker,0.45,0.45,central_screening,0.0012066758739557734,1.059214896303093,0.0009457275859849044
tracker,0.45,0.45,lower_resistance,0.005591282801892556,4.908004014195576,0.00438214644124605
tracker,0.45,0.45,upper_resistance,0.000206882230584594,0.18160033290235889,0.00016214315437710616
tracker,0.5,0.5,central_screening,0.00266595221552022,2.340161397487879,0.0020894298191856064
tracker,0.5,0.5,lower_resistance,0.011108574445425295,9.75105890757007,0.008706302596044704
tracker,0.5,0.5,upper_resistance,0.0005250187986901105,0.46085924514978915,0.0004114814688837403
tracker,0.55,0.55,central_screening,0.005247087230702036,4.605870621032274,0.00411238448306453
tracker,0.55,0.55,lower_resistance,0.019997948231425783,17.554113013616647,0.015673315190729148
tracker,0.55,0.55,upper_resistance,0.001163362475793749,1.021194581541745,0.000911780876376558
tracker,0.6,0.6,central_screening,0.009427549071546616,8.27546205881677,0.007388805409657829
tracker,0.6,0.6,lower_resistance,0.03327640703049887,29.209887081442737,0.026080256322716728
tracker,0.6,0.6,upper_resistance,0.0023122231718625333,2.0296595631643055,0.0018121960385395586
tracker,0.65,0.65,central_screening,0.015737180052460525,13.814029017357337,0.012333954479783336
tracker,0.65,0.65,lower_resistance,0.05188797567323713,45.54704205026616,0.04066700183059478
tracker,0.65,0.65,upper_resistance,0.00420426765451484,3.6904880787154957,0.003295078641710264
tracker,0.7,0.7,central_screening,0.024727206769264414,21.705435833493347,0.019379853422761918
tracker,0.7,0.7,lower_resistance,0.07656409028420594,67.20762940678318,0.060006811970342126
tracker,0.7,0.7,upper_resistance,0.007101953323496049,6.23406410574509,0.005566128665843831
tracker,0.75,0.75,central_screening,0.03693293401027969,32.41957074986748,0.02894604531238168
tracker,0.75,0.75,lower_resistance,0.10769165108818993,94.53126850555293,0.0844029183085294
